Category,Item_Code,Price,Quantity,Source,Price_with_30_percent_markup
50,sn,0.783,26371,V2,1.0179
78,fb,0.054,2,V2,0.0702
78,fb,0.067,2980,V2,0.08710000000000001
78,fb,0.071,61,V2,0.0923
78,fb,0.072,79,V2,0.0936
78,fb,0.076,2,V2,0.0988
78,fb,0.087,1,V2,0.11309999999999999
78,fb,0.118,1756,V2,0.1534
78,fb,0.142,300,V2,0.1846
78,fb,0.167,7689,V2,0.21710000000000002
78,fb,0.2,7702,V2,0.26
78,fb,0.272,10,V2,0.3536
78,fb,0.334,906,V2,0.43420000000000003
78,fb,1.25,358,V2,1.625
78,fb,1.334,262,V2,1.7342000000000002
78,fb,5.883,4095,V2,7.6479
78,fb,6.667,142,V2,8.6671
78,vi,0.045,90,V2,0.058499999999999996
78,vi,0.068,65,V2,0.0884
78,vi,0.071,1798,V2,0.0923
78,vi,0.1,7652,V2,0.13
78,vi,0.116,1,V2,0.15080000000000002
78,vi,0.12,7730,V2,0.156
78,vi,0.147,10,V2,0.1911
78,vi,0.339,1310,V2,0.44070000000000004
78,vi,1.225,7461,V2,1.5925000000000002
78,vi,1.307,438,V2,1.6991
78,tg,0.4,771,V2,0.52
78,tg,0.786,21,V2,1.0218
78,tg,0.83,300,V2,1.079
78,tg,1.651,128,V2,2.1463
78,tg,1.798,61,V2,2.3374
78,tg,2.36,7596,V2,3.068
78,tg,3.42,7674,V2,4.446
78,tg,3.53,1343,V2,4.5889999999999995
78,tg,4.605,10,V2,5.9865
78,tg,4.637,1744,V2,6.028099999999999
78,tg,5.943,4336,V2,7.725899999999999
78,tg,6.471,2014,V2,8.4123
78,ig,0.054,1,V2,0.0702
78,ig,0.067,1055,V2,0.08710000000000001
78,ig,0.074,1785,V2,0.0962
78,ig,0.098,1,V2,0.1274
78,ig,0.103,69,V2,0.1339
78,ig,0.106,5822,V2,0.1378
78,ig,0.133,1000,V2,0.17290000000000003
78,ig,0.14,5888,V2,0.18200000000000002
78,ig,0.172,56,V2,0.2236
78,ig,0.188,10,V2,0.2444
78,ig,0.27,774,V2,0.35100000000000003
78,ig,5.883,4446,V2,7.6479
78,tw,0.054,1,V2,0.0702
78,tw,0.063,1288,V2,0.0819
78,tw,0.064,1798,V2,0.08320000000000001
78,tw,0.082,8217,V2,0.10660000000000001
78,tw,0.091,520,V2,0.1183
78,tw,0.098,1,V2,0.1274
78,tw,0.11,7762,V2,0.14300000000000002
78,tw,0.181,65,V2,0.2353
78,tw,1.225,6732,V2,1.5925000000000002
78,wa,0.634,807,V2,0.8242
78,wa,0.81,1000,V2,1.0530000000000002
78,wa,1.112,28,V2,1.4456000000000002
78,wa,1.25,1059,V2,1.625
78,wa,1.505,128,V2,1.9565
78,wa,1.998,52,V2,2.5974
78,wa,2.123,6132,V2,2.7599000000000005
78,wa,2.29,1550,V2,2.9770000000000003
78,wa,2.648,6174,V2,3.4424
78,wa,3.53,923,V2,4.5889999999999995
78,wa,3.872,2214,V2,5.0336
78,wa,4.422,10,V2,5.7486
78,wa,4.718,9444,V2,6.1334
78,wa,5.883,107,V2,7.6479
78,li,0.006,752,V2,0.0078000000000000005
78,li,0.031,90,V2,0.0403
78,li,0.059,1461,V2,0.0767
78,li,0.075,1798,V2,0.0975
78,li,0.079,21897,V2,0.1027
129,fb,0.054,2,V2,0.0702
129,fb,0.056,221,V2,0.0728
129,fb,0.059,545,V2,0.0767
129,fb,0.066,6774,V2,0.0858
129,fb,0.067,583,V2,0.08710000000000001
129,fb,0.087,9835,V2,0.11309999999999999
129,fb,0.122,23,V2,0.1586
129,fb,0.159,366,V2,0.20670000000000002
129,fb,0.32,8,V2,0.41600000000000004
129,fb,0.507,9537,V2,0.6591
129,vi,0.004,155,V2,0.005200000000000001
129,vi,0.166,27,V2,0.21580000000000002
129,vi,0.234,366,V2,0.3042
129,vi,0.238,28,V2,0.3094
